Author-year,AgS,ReT,SA (m2/g),Metal,AIC (mg/L),Temp,pH,rpm,Adc,Qm (µg/g),Aged condition,Solution- added agent,Note,Unnamed: 14
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,21.4646,,Cu,Cu(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,15.8741,,Cu,Cu(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,13.0727,,Cu,Cu(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Single-ion,31.4048,"Lab: wastewater, aeration",,Pb(II) = 0,Bio-PS
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,30.5924,,Pb,Pb(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,29.3424,,Pb,Pb(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,28.5197,,Pb,Pb(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Cu (II),3.34,25.0,6.0,,Mixed,28.3158,,Pb,Pb(II) = 0.1 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Single-ion,43.8846,,,Cu(II) = 0,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,41.7861,,Cu,Cu(II) = 0.005 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,38.3453,,Cu,Cu(II) = 0.01 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,34.5489,,Cu,Cu(II) = 0.05 mmol/L,
"(Qiongjie et al., 2022)",Aged,PS,,Pb (II),10.88,25.0,6.0,,Mixed,25.2635,,Cu,Cu(II) = 0.1 mmol/L,
"(Qiu et al., 2022)",Virgin,PVC,1.20788,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,9.5,,,,
"(Qiu et al., 2022)",Aged,PVC,1.55175,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,167.4,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PET,0.92286,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,6.6,,,,
"(Qiu et al., 2022)",Aged,PET,0.83792,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,35.7,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PS,0.67877,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,4.9,,,,
"(Qiu et al., 2022)",Aged,PS,1.15927,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,44.1,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PE,1.4443,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,6.9,,,,
"(Qiu et al., 2022)",Aged,PE,1.70373,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,15.9,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PP,0.52987,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,6.8,,,,
"(Qiu et al., 2022)",Aged,PP,1.29385,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,38.2,"Lab: Sulfur, anaerobiosis",,,
"(Qiu et al., 2022)",Virgin,PA,0.19879,Hg (II),0.0255,25.0,6.8,60.0,Single-ion,16.7,,,,
